Objeto,Confianza,X1,Y1,X2,Y2,Tiempo
persona,0.3485395610332489,520,184,639,479,1743563683.182549
persona,0.40088486671447754,51,217,639,479,1743563683.5446994
persona,0.5389602780342102,497,227,639,479,1743563683.9534874
remote,0.3593395948410034,199,382,543,479,1743563683.9537823
persona,0.3291379511356354,51,226,639,479,1743563683.954038
remote,0.3358883261680603,194,393,534,479,1743563684.3282745
persona,0.2985623776912689,0,322,218,479,1743563684.6952016
persona,0.2833837568759918,50,70,638,479,1743563684.6956463
remote,0.26472654938697815,197,392,529,479,1743563684.6961145
persona,0.8777062296867371,133,59,609,479,1743563686.5547383
silla,0.5509823560714722,572,286,639,427,1743563686.5552337
persona,0.8681437969207764,51,54,608,479,1743563686.9438605
silla,0.6085710525512695,571,286,639,428,1743563686.9443204
silla,0.5055662989616394,415,138,560,302,1743563686.944686
persona,0.8139387965202332,65,54,619,479,1743563687.3203416
silla,0.6073270440101624,573,286,639,421,1743563687.3206842
silla,0.30574095249176025,412,138,559,299,1743563687.320936
persona,0.8448854088783264,102,56,622,479,1743563687.7024128
silla,0.5483208894729614,571,285,639,426,1743563687.7031405
silla,0.26483193039894104,405,138,560,297,1743563687.7036076
persona,0.7553910613059998,122,54,634,480,1743563688.0766068
silla,0.525593638420105,571,286,639,425,1743563688.076937
silla,0.3424479067325592,0,412,128,479,1743563688.0771723
remote,0.28692013025283813,256,216,461,325,1743563688.077385
persona,0.7495038509368896,119,53,589,479,1743563688.451999
toothbrush,0.7196647524833679,391,113,462,313,1743563688.452342
silla,0.4063125252723694,0,412,135,479,1743563688.4526339
persona,0.723832905292511,116,47,633,480,1743563688.8313246
toothbrush,0.39162126183509827,378,75,430,295,1743563688.8317852
silla,0.3894203007221222,0,413,136,479,1743563688.8322105
persona,0.7940942049026489,126,46,639,480,1743563689.202397
toothbrush,0.7734410762786865,371,85,411,296,1743563689.2028563
silla,0.29929083585739136,0,412,137,479,1743563689.203232
persona,0.7608560919761658,122,46,639,479,1743563689.5709198
toothbrush,0.7187201976776123,370,84,414,296,1743563689.5712435
silla,0.34404489398002625,0,413,136,479,1743563689.5715168
bowl,0.25975459814071655,0,412,137,479,1743563689.5717533
persona,0.7635291218757629,129,43,638,480,1743563689.940018
toothbrush,0.73553866147995,369,81,414,302,1743563689.9404864
silla,0.3772817552089691,0,413,136,479,1743563689.9408846
toothbrush,0.8513997793197632,369,84,414,297,1743563690.3167162
persona,0.7925752997398376,127,45,638,480,1743563690.3172178
silla,0.4448634088039398,0,413,135,479,1743563690.3176925
persona,0.8133354783058167,59,35,639,479,1743563690.8313572
telefono celular,0.5958787798881531,314,67,392,276,1743563690.8318417
toothbrush,0.5548166632652283,315,68,393,274,1743563690.8323345
silla,0.3443179726600647,0,412,135,479,1743563690.8327646
persona,0.8170246481895447,94,35,639,480,1743563691.2071476
silla,0.42506641149520874,0,413,135,479,1743563691.2076452
telefono celular,0.41778191924095154,296,78,345,295,1743563691.2080066
persona,0.8286703824996948,113,35,639,479,1743563691.579213
bowl,0.2550438940525055,0,412,136,479,1743563691.5796933
persona,0.840596616268158,69,56,640,479,1743563691.958709
silla,0.5318698883056641,571,286,639,455,1743563691.9591615
laptop,0.3077065646648407,38,322,140,417,1743563691.9594846
silla,0.29770562052726746,403,138,561,295,1743563691.959821
persona,0.8523862957954407,88,51,638,480,1743563692.333312
silla,0.6463005542755127,571,286,639,426,1743563692.333891
silla,0.38604119420051575,403,138,562,296,1743563692.3343077
persona,0.8154234886169434,102,58,618,480,1743563692.707335
silla,0.7356544137001038,570,286,639,478,1743563692.7076917
persona,0.5301780700683594,256,60,600,480,1743563692.7079253
persona,0.8222249150276184,128,56,596,479,1743563693.0850778
silla,0.6345893740653992,571,286,639,477,1743563693.0856357
silla,0.37744140625,0,413,134,479,1743563693.0860355
silla,0.30389291048049927,574,286,639,423,1743563693.0864332
persona,0.8183752298355103,130,55,595,479,1743563693.546094
silla,0.7455540299415588,572,286,639,478,1743563693.5465593
telefono celular,0.6249039769172668,396,214,443,309,1743563693.5468757
telefono celular,0.5266684889793396,375,103,446,299,1743563693.5473146
silla,0.28171253204345703,0,412,135,479,1743563693.547607
persona,0.8330241441726685,125,54,597,479,1743563693.9196277
silla,0.6691374182701111,570,286,639,476,1743563693.9199917
telefono celular,0.5107648372650146,365,99,440,300,1743563693.9202478
telefono celular,0.34828415513038635,378,205,425,309,1743563693.920573
silla,0.3267284035682678,0,413,135,479,1743563693.9208877
persona,0.8254021406173706,121,58,584,479,1743563694.3198836
silla,0.6070703864097595,572,286,639,428,1743563694.3203926
telefono celular,0.5084225535392761,364,95,442,298,1743563694.3207493
telefono celular,0.46531057357788086,377,201,431,290,1743563694.3212178
silla,0.34734222292900085,0,412,134,479,1743563694.3216555
persona,0.8371168971061707,113,52,585,479,1743563694.692145
silla,0.6493794918060303,571,286,639,477,1743563694.692641
telefono celular,0.4931166172027588,361,97,440,300,1743563694.6930032
bowl,0.29991230368614197,0,412,136,479,1743563694.693728
persona,0.8638265132904053,119,58,597,479,1743563695.0760863
silla,0.7775917053222656,571,286,639,478,1743563695.076593
telefono celular,0.4812203347682953,346,199,411,294,1743563695.0769453
silla,0.40683597326278687,0,413,135,479,1743563695.0778553
telefono celular,0.7226763963699341,224,246,421,360,1743563695.455936
persona,0.590468168258667,91,48,638,480,1743563695.4564028
silla,0.5738089084625244,574,287,639,398,1743563695.4568508
silla,0.40345069766044617,0,413,135,479,1743563695.4571724
silla,0.3975220024585724,39,323,147,450,1743563695.4574115
remote,0.34228184819221497,275,246,541,479,1743563695.4576342
silla,0.29367420077323914,102,323,154,407,1743563695.4578876
persona,0.7655223608016968,112,48,640,480,1743563695.8289933
telefono celular,0.5231669545173645,277,243,474,321,1743563695.8294456
silla,0.26885831356048584,0,413,134,480,1743563695.829895
persona,0.8092353343963623,104,46,638,480,1743563696.2114742
telefono celular,0.3156161308288574,284,241,550,480,1743563696.2120044
silla,0.299724817276001,0,412,136,480,1743563696.212451
silla,0.25964534282684326,40,322,147,450,1743563696.2126942
persona,0.8360356092453003,84,46,638,480,1743563696.595978
persona,0.7080810070037842,126,48,632,479,1743563696.974896
telefono celular,0.42343491315841675,281,236,489,322,1743563696.9752479
telefono celular,0.3239182233810425,280,242,511,340,1743563696.9755712
silla,0.253980427980423,0,412,137,479,1743563696.9758964
persona,0.8405908346176147,124,44,633,479,1743563697.3696768
silla,0.3155387043952942,0,413,136,479,1743563697.3701668
telefono celular,0.2811574935913086,278,241,508,325,1743563697.3704996
persona,0.734470009803772,124,44,636,480,1743563697.7585104
silla,0.27816933393478394,0,413,137,479,1743563697.759005
persona,0.7922348380088806,122,44,637,479,1743563698.1464725
telefono celular,0.5195255279541016,256,239,574,479,1743563698.1469631
silla,0.36752358078956604,0,413,136,479,1743563698.1474447
telefono celular,0.2824200391769409,278,242,492,322,1743563698.1477733
persona,0.8531567454338074,122,48,637,479,1743563698.5349445
silla,0.3348861038684845,39,322,147,441,1743563698.535423
silla,0.33425483107566833,0,412,136,480,1743563698.5357816
persona,0.866504430770874,125,54,640,479,1743563698.9280903
silla,0.5503116846084595,573,286,639,438,1743563698.928553
silla,0.4185957610607147,414,139,559,300,1743563698.9288883
silla,0.37481194734573364,0,413,133,479,1743563698.9292235
silla,0.2639394998550415,103,323,153,408,1743563698.9295647
silla,0.25119107961654663,38,323,147,426,1743563698.9299088
persona,0.8372818827629089,125,58,639,479,1743563699.3158207
silla,0.551737368106842,574,286,639,447,1743563699.3161697
silla,0.42044663429260254,0,413,134,479,1743563699.316419
silla,0.35038629174232483,407,138,559,299,1743563699.3166676
silla,0.25507962703704834,37,323,147,458,1743563699.3169672
persona,0.8426583409309387,125,58,619,479,1743563699.7058897
silla,0.6563004851341248,574,286,639,419,1743563699.7063768
silla,0.37527957558631897,407,138,559,300,1743563699.7067645
silla,0.34396013617515564,0,412,135,479,1743563699.707146
silla,0.2909253239631653,574,286,639,476,1743563699.7074761
persona,0.8314148783683777,126,55,612,479,1743563700.0938814
silla,0.7205723524093628,573,287,639,424,1743563700.094388
silla,0.5172315239906311,409,139,559,302,1743563700.0947218
silla,0.3259274661540985,0,413,134,479,1743563700.0950983
silla,0.25258564949035645,0,323,150,479,1743563700.0953388
silla,0.6421883702278137,572,286,639,421,1743563700.4883795
cup,0.5065954327583313,580,423,639,479,1743563700.4886546
persona,0.4309140741825104,129,55,603,479,1743563700.488884
silla,0.38660386204719543,0,413,135,479,1743563700.489205
persona,0.36497560143470764,258,52,625,480,1743563700.4894927
persona,0.29503148794174194,131,58,452,479,1743563700.4898095
silla,0.25683581829071045,9,322,151,478,1743563700.4901202
telefono celular,0.6543676853179932,276,62,433,328,1743563700.8750942
silla,0.639929473400116,572,286,639,479,1743563700.875621
silla,0.370310515165329,0,413,134,479,1743563700.8759766
persona,0.7483716607093811,126,63,621,479,1743563701.2474155
telefono celular,0.6739755272865295,284,56,436,314,1743563701.2477841
silla,0.6245123147964478,571,286,639,478,1743563701.2482853
silla,0.26317793130874634,0,412,134,479,1743563701.2486556
